product_id,name,description,cost_price,selling_price,category,stock_available,units_sold,customer_rating,demand_forecast_value,demand_forecast
31,Portable Power Bank,30000mAh portable power bank with fast charging and multiple outputs,34.50,69.99,Electronics,234,345,4.5,420,"{""2021"": 280, ""2022"": 320, ""2023"": 420}"
32,Memory Foam Pillow,Premium memory foam pillow with cooling technology and adjustable height,18.40,39.99,Home,345,456,4.4,540,"{""2021"": 380, ""2022"": 420, ""2023"": 540}"
33,Wireless Gaming Headset,7.1 surround sound gaming headset with noise-canceling microphone,45.20,89.99,Electronics,123,178,4.6,220,"{""2021"": 140, ""2022"": 180, ""2023"": 220}"
34,Smart Scale,WiFi-enabled smart scale with body composition analysis and app sync,23.40,49.99,Fitness,456,567,4.3,680,"{""2021"": 480, ""2022"": 540, ""2023"": 680}"
35,Portable Monitor,15.6-inch portable monitor with USB-C connectivity and built-in speakers,89.50,179.99,Electronics,67,89,4.7,110,"{""2021"": 65, ""2022"": 85, ""2023"": 110}"
36,Smart Coffee Maker,WiFi-enabled coffee maker with app control and scheduling features,67.80,139.99,Home,89,134,4.5,160,"{""2021"": 95, ""2022"": 125, ""2023"": 160}"
37,Wireless Car Charger,Fast wireless car charger with phone holder and auto-clamping,15.60,34.99,Electronics,567,678,4.2,800,"{""2021"": 580, ""2022"": 640, ""2023"": 800}"
38,Smart Plant Pot,Self-watering smart plant pot with soil monitoring and app notifications,34.50,69.99,Sustainable,234,345,4.4,420,"{""2021"": 280, ""2022"": 320, ""2023"": 420}"
39,Portable Bluetooth Speaker Mini,Ultra-compact portable Bluetooth speaker with 10-hour battery life,12.30,29.99,Electronics,456,567,4.3,680,"{""2021"": 480, ""2022"": 540, ""2023"": 680}"
40,Smart Mirror,WiFi-enabled smart mirror with LED lighting and Bluetooth speakers,156.00,299.99,Home,23,45,4.8,60,"{""2021"": 35, ""2022"": 50, ""2023"": 60}"
41,Wireless Charging Stand,Adjustable wireless charging stand with fast charging and LED indicator,18.40,39.99,Electronics,345,456,4.4,540,"{""2021"": 380, ""2022"": 420, ""2023"": 540}"
42,Smart Doorbell Camera,WiFi-enabled doorbell camera with motion detection and two-way audio,45.20,89.99,Home,123,178,4.6,220,"{""2021"": 140, ""2022"": 180, ""2023"": 220}"
43,Portable Bluetooth Keyboard Mini,Ultra-compact foldable Bluetooth keyboard for mobile devices,23.40,49.99,Electronics,456,567,4.3,680,"{""2021"": 480, ""2022"": 540, ""2023"": 680}"
44,Smart Water Bottle,WiFi-enabled smart water bottle with hydration tracking and reminders,34.50,69.99,Fitness,234,345,4.5,420,"{""2021"": 280, ""2022"": 320, ""2023"": 420}"
45,Portable Projector Screen,Portable projector screen with tripod stand and carrying case,45.20,89.99,Electronics,89,134,4.4,160,"{""2021"": 95, ""2022"": 125, ""2023"": 160}"
46,Smart Curtains,WiFi-enabled smart curtains with voice control and scheduling,78.90,159.99,Home,45,78,4.7,95,"{""2021"": 55, ""2022"": 75, ""2023"": 95}"
47,Wireless Charging Mouse Pad,Extended mouse pad with built-in wireless charging pad,15.60,34.99,Electronics,567,678,4.2,800,"{""2021"": 580, ""2022"": 640, ""2023"": 800}"
48,Smart Air Freshener,WiFi-enabled smart air freshener with app control and scheduling,23.40,49.99,Home,456,567,4.3,680,"{""2021"": 480, ""2022"": 540, ""2023"": 680}"
49,Portable Bluetooth Speaker Large,High-power portable Bluetooth speaker with 20-hour battery life,67.80,139.99,Electronics,123,178,4.6,220,"{""2021"": 140, ""2022"": 180, ""2023"": 220}"
50,Smart Pet Feeder,WiFi-enabled smart pet feeder with app control and portion control,89.50,179.99,Home,34,56,4.8,75,"{""2021"": 45, ""2022"": 60, ""2023"": 75}"
